,Sentence,Target
2499,"â€œArt. 425, C.C.P., requires that the judgment nisi state that the same will be made final,",Invalid
2442,"Certainly, the evidence does not reflect that the Dinerâ€™s Club",Invalid
2235,She later testified that she did not know which boys were there but that there were â€œaround three boys thereâ€ holding her hands and legs.,Facts
3007,"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",Invalid
717,"Appellant, testifying in his own behalf, stated that he was employed as a cook by Wyatt cafeterias, that he worked four or five nights a week as a dance hall supervisor, that he was also employed by the Stone Rock Detective Agency, that on the night of his arrest he had been working at a dance hall and also investigating a divorce case, and that he did not know he was violating the law and had no intention of violating the law.",Facts
1724,"The witness then testified without further objection: â€œAnd what clothes did he point out to you, sir?â€",Facts
960,"Her defense, raised by her testimony, was self defense.",Others
577,"After the trucks were driven away, headed toward New Braunfels, he went to a neighborâ€™s home and reported to the sheriffâ€™s office what he had seen.",Facts
447,"With the vacating of the November 26, 1979 Decision and Order, the appointment of a ""Special Prosecutor"" by the Superior Court is declared a nullity.",Conclusion
1159,"Now, Officer Hutson, I believe you stated that you v had been on the police force seven years?",Others
2688,"If statements are untrue, the making of them clearly constitutes misconduct warranting reversal.",Rule/Law/Holding
2479,The two men talked together in low tones.,Facts
43,"It is not beyond the discretion of this Court to interpret a summary judgment proceeding as part of the overall trial, and therefore to interpret such a prohibition as applicable to such proceeding.",Facts
2869,"The prosecuting witness testified that she was the stepdaughter of the appellant, but she did not testify to any act of sexual intercourse with him.",Facts
3187,"In his argument to the jury, appellant’s counsel urged them to acquit appellant because if they convicted him it would mean that he had to go to jail and that such fact would ruin his life.",Facts
1672,"The state then adduced testimony from the witness George Hamilton, the clerk of Justice of the Peace McBrideâ€™s court, over objections by the appellant.",Facts
3271,She testified that she made no overt gesture toward appellant and that she was not armed.,Facts
1647,"The remaining complaint relates to the testimony of Officer Kennedy that a suit of clothes was found in appellantâ€™s room, which was identified by the witness as the suit appellant was wearing at the time of the trial, in which the knife above referred to was found.",Issue
2681,Heâ€™ll be here in a few minutes.â€,Facts
539,A piece of bloody rag was recovered from the commode.,Facts
1400,The appellant was known in the community where he was tried.,Facts
976,"However, in the case at bar, the facts are different.",Analysis
3192,"In his motion for rehearing, appellant insists that we were in error in holding that the issue of his execution of the bond in question was not raised by a plea of non est factum.",Issue
593,"Although the appellantâ€™s counsel never at any time made a specific objection to the admissibility of the prior convictions for the offenses of vagrancy because they had not been shown to be ones involving moral turpitude, we think that the objections which were made to the prior judgments were sufficient to apprise the court of their admissibility.",Analysis
